trade_date,portfolio_equity,cash,holding_count,gross_exposure
2024-04-01,10084458.639323998,84657.36932399818,30,9999801.27
2024-04-02,10195543.219324,84657.36932399818,30,10110885.850000003
2024-04-03,10313654.479324002,84657.36932399818,30,10228997.109999998
2024-04-08,10187451.739324003,84657.36932399818,30,10102794.370000001
2024-04-09,10256176.349324003,84657.36932399818,30,10171518.979999999
2024-04-10,10239129.519323999,84657.36932399818,30,10154472.149999999
2024-04-11,10310569.879324,84657.36932399818,30,10225912.51
2024-04-12,10383609.409324002,84657.36932399818,30,10298952.04
2024-04-15,10198285.379323998,84657.36932399818,30,10113628.010000002
2024-04-16,9709235.409324002,84657.36932399818,30,9624578.040000001
2024-04-17,10112870.029323999,84657.36932399818,30,10028212.66
2024-04-18,10073488.799323998,84657.36932399818,30,9988831.430000002
2024-04-19,10028505.949323995,84657.36932399818,30,9943848.58
2024-04-22,9914387.389323998,84657.36932399818,30,9829730.02
2024-04-23,9748312.089324001,84657.36932399818,30,9663654.719999997
2024-04-24,9892546.819323998,84657.36932399818,30,9807889.45
2024-04-25,9910383.809324002,84657.36932399818,30,9825726.44
2024-04-26,9959306.359324,84657.36932399818,30,9874648.99
2024-04-29,10023663.339324,84657.36932399818,30,9939005.97
2024-04-30,9969401.189323997,84657.36932399818,30,9884743.82
2024-05-06,10211518.129324002,84657.36932399818,30,10126860.760000002
2024-05-07,10239714.939324,84657.36932399818,30,10155057.569999998
2024-05-08,10153950.829323998,84657.36932399818,30,10069293.46
2024-05-09,10288260.379323997,84657.36932399818,30,10203603.01
2024-05-10,10336663.429324,84657.36932399818,30,10252006.06
2024-05-13,10286039.509324,84657.36932399818,30,10201382.139999999
2024-05-14,10384167.439324,84657.36932399818,30,10299510.070000002
2024-05-15,10315696.239323998,84657.36932399818,30,10231038.870000001
2024-05-16,10286900.719324,84657.36932399818,30,10202243.35
2024-05-17,10310883.999323998,84657.36932399818,30,10226226.63
2024-05-20,10487571.839324001,84657.36932399818,30,10402914.47
2024-05-21,10365038.719323998,84657.36932399818,30,10280381.350000001
2024-05-22,10298845.629324,84657.36932399818,30,10214188.260000002
2024-05-23,10055789.029323999,84657.36932399818,30,9971131.660000002
2024-05-24,10088116.239323996,84657.36932399818,30,10003458.87
2024-05-27,10208463.899324,84657.36932399818,30,10123806.529999997
2024-05-28,10142741.449324,84657.36932399818,30,10058084.08
2024-05-29,10221658.439324,84657.36932399818,30,10137001.07
2024-05-30,9961223.039324,84657.36932399818,30,9876565.67
2024-05-31,9946673.249324001,84657.36932399818,30,9862015.879999999
2024-06-03,9779848.499324,84657.36932399818,30,9695191.13
2024-06-04,9847424.789323997,84657.36932399818,30,9762767.42
2024-06-05,9636936.189323999,84657.36932399818,30,9552278.819999998
2024-06-06,9591729.599324,84657.36932399818,30,9507072.23
2024-06-07,9636594.229324,84657.36932399818,30,9551936.86
2024-06-11,9545205.039323997,84657.36932399818,30,9460547.67
2024-06-12,9553107.369323999,84657.36932399818,30,9468450.000000002
2024-06-13,9389073.869323999,84657.36932399818,30,9304416.5
2024-06-14,9404690.249323998,84657.36932399818,30,9320032.880000003
2024-06-17,9240772.329324,84657.36932399818,30,9156114.959999999
2024-06-18,9318750.729323998,84657.36932399818,30,9234093.359999998
2024-06-19,9297062.999323998,84657.36932399818,30,9212405.629999999
2024-06-20,9207428.259324,84657.36932399818,30,9122770.890000002
2024-06-21,9240411.569323998,84657.36932399818,30,9155754.200000003
2024-06-24,9158155.609323999,84657.36932399818,30,9073498.24
2024-06-25,9199171.649323998,84657.36932399818,30,9114514.279999997
2024-06-26,9262966.579324001,84657.36932399818,30,9178309.209999999
2024-06-27,9082591.419324,84657.36932399818,30,8997934.049999999
2024-06-28,9204850.529323999,84657.36932399818,30,9120193.16
2024-07-01,9334433.589324,84657.36932399818,30,9249776.22
2024-07-02,9267101.289323999,84657.36932399818,30,9182443.92
2024-07-03,9201175.699323999,84657.36932399818,30,9116518.330000002
2024-07-04,9049929.859323999,84657.36932399818,30,8965272.49
2024-07-05,9185623.849324001,84657.36932399818,30,9100966.48
2024-07-08,9079270.969324,84657.36932399818,30,8994613.6
2024-07-09,9247106.779323999,84657.36932399818,30,9162449.41
2024-07-10,9059637.419324,84657.36932399818,30,8974980.05
2024-07-11,9227929.889324,84657.36932399818,30,9143272.519999998
2024-07-12,9177409.809324,84657.36932399818,30,9092752.439999998
2024-07-15,9135106.219323996,84657.36932399818,30,9050448.85
2024-07-16,9074668.099324001,84657.36932399818,30,8990010.73
2024-07-17,8880011.189323997,84657.36932399818,30,8795353.82
2024-07-18,8884974.739324,84657.36932399818,30,8800317.370000001
2024-07-19,8807073.619324,84657.36932399818,30,8722416.25
2024-07-22,8764062.369323997,84657.36932399818,30,8679405.0
2024-07-23,8540467.429324,84657.36932399818,30,8455810.06
2024-07-24,8485966.599323997,84657.36932399818,30,8401309.23
2024-07-25,8421655.989323998,84657.36932399818,30,8336998.62
2024-07-26,8531267.549324,84657.36932399818,30,8446610.18
2024-07-29,8548466.039323999,84657.36932399818,30,8463808.670000002
2024-07-30,8493728.499324,84657.36932399818,30,8409071.13
2024-07-31,8734838.209324,84657.36932399818,30,8650180.840000002
2024-08-01,8693548.749324,84657.36932399818,30,8608891.38
2024-08-02,8588095.159323998,84657.36932399818,30,8503437.79
2024-08-05,8420950.119323999,84657.36932399818,30,8336292.75
2024-08-06,8488497.899324,84657.36932399818,30,8403840.53
2024-08-07,8522027.819324,84657.36932399818,30,8437370.450000003
2024-08-08,8516720.089324,84657.36932399818,30,8432062.72
2024-08-09,8488370.929324,84657.36932399818,30,8403713.559999999
2024-08-12,8473364.719323998,84657.36932399818,30,8388707.35
2024-08-13,8524649.009323997,84657.36932399818,30,8439991.639999999
2024-08-14,8471426.279323997,84657.36932399818,30,8386768.909999999
2024-08-15,8528142.769323999,84657.36932399818,30,8443485.400000002
2024-08-16,8479443.939323997,84657.36932399818,30,8394786.57
2024-08-19,8596334.929323997,84657.36932399818,30,8511677.56
2024-08-20,8423776.549323997,84657.36932399818,30,8339119.179999997
2024-08-21,8421464.739323998,84657.36932399818,30,8336807.369999998
2024-08-22,8362750.359323997,84657.36932399818,30,8278092.99
2024-08-23,8289017.399323997,84657.36932399818,30,8204360.029999997
2024-08-26,8333232.4693239955,84657.36932399818,30,8248575.100000001
2024-08-27,8276057.419323997,84657.36932399818,30,8191400.05
2024-08-28,8288537.019323998,84657.36932399818,30,8203879.65
2024-08-29,8298957.539323996,84657.36932399818,30,8214300.17
2024-08-30,8325433.389323999,84657.36932399818,30,8240776.019999999
2024-09-02,8269370.389323997,84657.36932399818,30,8184713.0200000005
2024-09-03,8251707.289323998,84657.36932399818,30,8167049.920000001
2024-09-04,8137389.809323999,84657.36932399818,30,8052732.4399999995
2024-09-05,8144391.469323996,84657.36932399818,30,8059734.099999999
2024-09-06,8037462.129323998,84657.36932399818,30,7952804.76
2024-09-09,7941907.309323996,84657.36932399818,30,7857249.94
2024-09-10,7922077.599323996,84657.36932399818,30,7837420.23
2024-09-11,7840383.839323998,84657.36932399818,30,7755726.470000001
2024-09-12,7845056.139323996,84657.36932399818,30,7760398.77
2024-09-13,7815289.959323998,84657.36932399818,30,7730632.59
2024-09-18,7829721.0893239975,84657.36932399818,30,7745063.720000002
2024-09-19,7997164.9693239955,84657.36932399818,30,7912507.6
2024-09-20,7983383.579323998,84657.36932399818,30,7898726.21
2024-09-23,8066903.489323999,84657.36932399818,30,7982246.12
2024-09-24,8360876.469323998,84657.36932399818,30,8276219.100000001
2024-09-25,8446484.729324,84657.36932399818,30,8361827.36
2024-09-26,8713733.869323999,84657.36932399818,30,8629076.5
2024-09-27,9003891.079324,84657.36932399818,30,8919233.709999999
2024-09-30,9734194.369323999,84657.36932399818,30,9649537.0
2024-10-08,9985410.369323999,84657.36932399818,30,9900752.999999998
2024-10-09,9214172.149323998,84657.36932399818,30,9129514.779999997
2024-10-10,9332248.409324,84657.36932399818,30,9247591.040000001
2024-10-11,9126834.769323999,84657.36932399818,30,9042177.4
2024-10-14,9395423.229324,84657.36932399818,30,9310765.860000001
2024-10-15,9152136.089324001,84657.36932399818,30,9067478.720000003
2024-10-16,9223851.199323999,84657.36932399818,30,9139193.83
2024-10-17,9134080.879324002,84657.36932399818,30,9049423.51
2024-10-18,9317420.329323998,84657.36932399818,30,9232762.959999999
2024-10-21,9310954.399323996,84657.36932399818,30,9226297.03
2024-10-22,9389847.439324,84657.36932399818,30,9305190.069999997
2024-10-23,9418310.279323997,84657.36932399818,30,9333652.91
2024-10-24,9354629.339324001,84657.36932399818,30,9269971.970000003
2024-10-25,9403453.539323997,84657.36932399818,30,9318796.169999998
2024-10-28,9544657.999323998,84657.36932399818,30,9460000.630000003
2024-10-29,9418116.049323998,84657.36932399818,30,9333458.680000002
2024-10-30,9378053.079323998,84657.36932399818,30,9293395.71
2024-10-31,9460782.929324001,84657.36932399818,30,9376125.56
2024-11-01,9384230.439323999,84657.36932399818,30,9299573.07
2024-11-04,9505295.909324,84657.36932399818,30,9420638.54
2024-11-05,9670665.079323996,84657.36932399818,30,9586007.71
2024-11-06,9693617.289324,84657.36932399818,30,9608959.920000002
2024-11-07,9886824.389324002,84657.36932399818,30,9802167.02
2024-11-08,9806554.819324,84657.36932399818,30,9721897.450000001
2024-11-11,9789742.759324,84657.36932399818,30,9705085.390000002
2024-11-12,9708257.539323997,84657.36932399818,30,9623600.170000002
2024-11-13,9724111.979323998,84657.36932399818,30,9639454.61
2024-11-14,9516597.529323999,84657.36932399818,30,9431940.16
2024-11-15,9435447.799324,84657.36932399818,30,9350790.43
2024-11-18,9375336.729324,84657.36932399818,30,9290679.36
2024-11-19,9565809.799324,84657.36932399818,30,9481152.430000002
2024-11-20,9655787.589324,84657.36932399818,30,9571130.219999997
2024-11-21,9639014.349324,84657.36932399818,30,9554356.98
2024-11-22,9287104.169324001,84657.36932399818,30,9202446.799999997
2024-11-25,9373144.409324,84657.36932399818,30,9288487.039999997
2024-11-26,9335140.439323997,84657.36932399818,30,9250483.07
2024-11-27,9434376.119323999,84657.36932399818,30,9349718.75
2024-11-28,9433691.629324,84657.36932399818,30,9349034.26
2024-11-29,9540462.669324,84657.36932399818,30,9455805.3
2024-12-02,9648292.919323998,84657.36932399818,30,9563635.549999999
2024-12-03,9649724.479324,84657.36932399818,30,9565067.11
2024-12-04,9603014.599324,84657.36932399818,30,9518357.23
2024-12-05,9662903.709324,84657.36932399818,30,9578246.340000002
2024-12-06,9724443.119323997,84657.36932399818,30,9639785.750000002
2024-12-09,9787443.959323999,84657.36932399818,30,9702786.59
2024-12-10,9845245.339324001,84657.36932399818,30,9760587.97
2024-12-11,9984331.139323996,84657.36932399818,30,9899673.77
2024-12-12,10168463.469323998,84657.36932399818,30,10083806.1
2024-12-13,9951485.219323998,84657.36932399818,30,9866827.850000001
2024-12-16,10019609.159324,84657.36932399818,30,9934951.790000001
2024-12-17,9695975.019324,84657.36932399818,30,9611317.65
2024-12-18,9705330.319323998,84657.36932399818,30,9620672.95
2024-12-19,9706921.149324,84657.36932399818,30,9622263.780000001
2024-12-20,9809637.849324,84657.36932399818,30,9724980.479999999
2024-12-23,9677059.319324,84657.36932399818,30,9592401.95
2024-12-24,9830491.819323998,84657.36932399818,30,9745834.45
2024-12-25,9727938.289323997,84657.36932399818,30,9643280.92
