id,run_uid,run_type,run_name,status,trigger_type,parent_run_id,requested_at,started_at,ended_at,created_at,updated_at,error_message,log_level
152,0b8c57ac-dda1-4a0b-8c39-3bea063aced2,PAPER_TRADING,m7_6_paper_trading_fill_152,STALE,MANUAL,,,2026-04-21T00:01:15.116843+00:00,2026-04-22T03:41:11.530143+00:00,2026-04-21T00:01:15.116843+00:00,2026-04-22T03:41:11.530143+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
151,ad24fcf9-bf87-4151-b7bf-22980091cc1b,PAPER_TRADING,m7_6_paper_trading_order_151,STALE,MANUAL,,,2026-04-21T00:01:15.090211+00:00,2026-04-22T03:41:11.530143+00:00,2026-04-21T00:01:15.090211+00:00,2026-04-22T03:41:11.530143+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
140,5009fb94-4149-464d-b54a-9e59ba1a0f59,PAPER_TRADING,bootstrap_m7_rebalance_daily_chain,STALE,MANUAL,,2026-04-21T06:00:49.076312+00:00,2026-04-21T06:00:49.141789+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T06:00:49.133144+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
135,8d1905d4-1d9b-4e70-b120-64e79c1f0ad3,PAPER_TRADING,bootstrap_m7_rebalance_daily_chain,STALE,MANUAL,,2026-04-21T06:00:18.653452+00:00,2026-04-21T06:00:18.722362+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T06:00:18.711247+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
130,c65c6acd-7aff-4520-9956-a1a59ea91b21,PAPER_TRADING,bootstrap_m7_paper_position_after_fill_chain,STALE,MANUAL,,2026-04-21T05:39:42.667356+00:00,2026-04-21T05:39:42.728607+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:39:42.722528+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
129,58548952-d9cb-4ac6-b72d-8f352f36a394,PAPER_TRADING,bootstrap_m7_paper_position_after_fill_chain,STALE,MANUAL,,2026-04-21T05:39:19.568565+00:00,2026-04-21T05:39:19.651666+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:39:19.629277+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
128,10497e18-33d0-4ca1-81f1-2384a95ea2fb,PAPER_TRADING,bootstrap_m7_paper_position_after_fill_chain,STALE,MANUAL,,2026-04-21T05:39:10.699458+00:00,2026-04-21T05:39:10.763067+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:39:10.753789+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
127,9b5c3ae6-4834-41c1-8856-c198eb1d14ff,PAPER_TRADING,bootstrap_m7_paper_position_after_fill_chain,STALE,MANUAL,,2026-04-21T05:37:25.815752+00:00,2026-04-21T05:37:25.877133+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:37:25.868724+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
123,50f9ea68-2dcc-4d92-a0e6-5947b151194e,PAPER_TRADING,bootstrap_m7_paper_rebalance_order_chain,STALE,MANUAL,,2026-04-21T05:21:39.630034+00:00,2026-04-21T05:21:39.693163+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:21:39.685666+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
122,b6a4b290-93cc-4f26-ae21-2dd3cdffb724,PAPER_TRADING,bootstrap_m7_paper_rebalance_order_chain,STALE,MANUAL,,2026-04-21T05:21:10.947073+00:00,2026-04-21T05:21:11.021795+00:00,2026-04-22T03:45:22.191969+00:00,2026-04-21T05:21:11.012401+00:00,2026-04-22T03:45:22.191969+00:00,M8.4 ops hygiene cleanup: RUNNING_WITHOUT_OUTPUT_ROWS; run 长时间 RUNNING 且无业务输出行，建议复核后标记 STALE 或 FAILED,WARN
