id,run_type,run_name,status,trigger_type,requested_at,started_at,ended_at,created_at,updated_at,error_message
215,RISK_ADJ_TARGET,M7 Risk Adjusted Target Position,SUCCESS,MANUAL,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,
214,PAPER_RISK,M7 Risk Apply To Target,SUCCESS,MANUAL,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,2026-04-23T13:57:44.026722+00:00,
213,RISK_ADJ_TARGET,M7 Risk Adjusted Target Position,SUCCESS,MANUAL,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,
212,PAPER_RISK,M7 Risk Apply To Target,SUCCESS,MANUAL,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,2026-04-23T13:56:02.793715+00:00,
211,RISK_ADJ_TARGET,M7 Risk Adjusted Target Position,SUCCESS,MANUAL,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,
210,PAPER_RISK,M7 Risk Apply To Target,SUCCESS,MANUAL,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,2026-04-23T13:52:58.004149+00:00,
209,RISK_ADJ_TARGET,M7 Risk Adjusted Target Position,SUCCESS,MANUAL,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,
208,PAPER_RISK,M7 Risk Apply To Target,SUCCESS,MANUAL,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,2026-04-23T13:48:44.664459+00:00,
207,RISK_ADJ_TARGET,M7 Risk Adjusted Target Position,SUCCESS,MANUAL,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,
206,PAPER_RISK,M7 Risk Apply To Target,SUCCESS,MANUAL,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,2026-04-23T13:46:23.947887+00:00,
205,RISK_ADJ_TARGET,M7 Risk Adjusted Target Position,SUCCESS,MANUAL,2026-04-23T13:44:21.373388+00:00,2026-04-23T13:44:21.373388+00:00,2026-04-23T13:44:21.373388+00:00,2026-04-23T13:44:21.373388+00:00,2026-04-23T13:44:21.373388+00:00,
