module,topic,relative_path,format,report_date,run_ids,summary,row_count,headers,top_level_keys
m3,m9_bridge,artifacts/m3/m9_bridge/m3_m9_bridge_summary_p1_r68_2026-04-23.json,json,2026-04-23,,summary_type=m3_readiness | bridge_status=OK | latest_run_id=68 | report_date=2026-04-23 | human_summary=M3 定义层与部分 snapshot 事实已可识别，06_指标/因子/特征/标签状态 可不再仅依赖 docs-only。,,,summary_type|status|report_date|generated_at|latest_run_id|latest_success_run|definition_counts|snapshot_counts|recent_runs|human_summary
m3,m9_bridge,artifacts/m3/m9_bridge/m3_m9_bridge_summary_p1_r68_2026-04-23.md,md,2026-04-23,,# M3 → M9 Bridge Summary | - Report Date: 2026-04-23 | - Status: OK | - Latest Run ID: 68,,,
m4,m9_bridge,artifacts/m4/m9_bridge/m4_m9_bridge_summary_p1_2026-04-23.json,json,2026-04-23,,summary_type=m4_strategy_signal | bridge_status=OK | report_date=2026-04-23 | human_summary=M4 策略定义、版本与 signal 运行事实均已识别，07_策略与信号状态 可基于实际 signal facts 解释。,,,summary_type|status|report_date|generated_at|latest_run_id|strategies|versions|schemas|schema_count|signal_total_rows|signal_latest_as_of_date|signal_latest_effective_date
m4,m9_bridge,artifacts/m4/m9_bridge/m4_m9_bridge_summary_p1_2026-04-23.md,md,2026-04-23,,# M4 → M9 Bridge Summary | - Report Date: 2026-04-23 | - Status: OK | - Signal Total Rows: 90,,,
m5,backtest,artifacts/m5/backtest/backtest_execution_plan_run_61.json,json,,61,"json keys: stage, execution_enabled, run_id, backtest_request_id, start_date, end_date, engine_code, source_signal_run_id, screen_request_id, execution_assumption_profile_id, benchmark_definition_id, data_feed_plan",,,stage|execution_enabled|run_id|backtest_request_id|start_date|end_date|engine_code|source_signal_run_id|screen_request_id|execution_assumption_profile_id|benchmark_definition_id|data_feed_plan
m5,backtest,artifacts/m5/backtest/backtest_execution_plan_run_80.json,json,,80,"json keys: stage, execution_enabled, run_id, backtest_request_id, start_date, end_date, engine_code, source_signal_run_id, screen_request_id, execution_assumption_profile_id, benchmark_definition_id, data_feed_plan",,,stage|execution_enabled|run_id|backtest_request_id|start_date|end_date|engine_code|source_signal_run_id|screen_request_id|execution_assumption_profile_id|benchmark_definition_id|data_feed_plan
m5,backtest,artifacts/m5/backtest/backtest_execution_plan_run_83.json,json,,83,"json keys: stage, execution_enabled, run_id, backtest_request_id, start_date, end_date, engine_code, source_signal_run_id, screen_request_id, execution_assumption_profile_id, benchmark_definition_id, data_feed_plan",,,stage|execution_enabled|run_id|backtest_request_id|start_date|end_date|engine_code|source_signal_run_id|screen_request_id|execution_assumption_profile_id|benchmark_definition_id|data_feed_plan
m5,backtest,artifacts/m5/backtest/backtest_execution_plan_run_84.json,json,,84,"json keys: stage, execution_enabled, run_id, backtest_request_id, start_date, end_date, engine_code, source_signal_run_id, screen_request_id, execution_assumption_profile_id, benchmark_definition_id, data_feed_plan",,,stage|execution_enabled|run_id|backtest_request_id|start_date|end_date|engine_code|source_signal_run_id|screen_request_id|execution_assumption_profile_id|benchmark_definition_id|data_feed_plan
m5,backtest,artifacts/m5/backtest/backtest_execution_plan_run_86.json,json,,86,"json keys: stage, execution_enabled, run_id, backtest_request_id, start_date, end_date, engine_code, source_signal_run_id, screen_request_id, execution_assumption_profile_id, benchmark_definition_id, data_feed_plan",,,stage|execution_enabled|run_id|backtest_request_id|start_date|end_date|engine_code|source_signal_run_id|screen_request_id|execution_assumption_profile_id|benchmark_definition_id|data_feed_plan
m5,backtest,artifacts/m5/backtest/backtest_execution_plan_run_87.json,json,,87,"json keys: stage, execution_enabled, run_id, backtest_request_id, start_date, end_date, engine_code, source_signal_run_id, screen_request_id, execution_assumption_profile_id, benchmark_definition_id, data_feed_plan",,,stage|execution_enabled|run_id|backtest_request_id|start_date|end_date|engine_code|source_signal_run_id|screen_request_id|execution_assumption_profile_id|benchmark_definition_id|data_feed_plan
m5,backtest,artifacts/m5/backtest/backtest_execution_plan_run_89.json,json,,89,"json keys: stage, execution_enabled, run_id, backtest_request_id, start_date, end_date, engine_code, source_signal_run_id, screen_request_id, execution_assumption_profile_id, benchmark_definition_id, data_feed_plan",,,stage|execution_enabled|run_id|backtest_request_id|start_date|end_date|engine_code|source_signal_run_id|screen_request_id|execution_assumption_profile_id|benchmark_definition_id|data_feed_plan
m5,backtest,artifacts/m5/backtest/run_61/backtest_equity_curve.csv,csv,,,"csv rows: 184; headers: trade_date, portfolio_equity, cash, holding_count, gross_exposure",184,trade_date|portfolio_equity|cash|holding_count|gross_exposure,
m5,backtest,artifacts/m5/backtest/run_61/backtest_metrics.json,json,,,"json keys: trading_days, initial_cash, start_value, final_equity, total_return, annual_return, max_drawdown, sharpe_ratio, volatility, order_count, trade_count",,,trading_days|initial_cash|start_value|final_equity|total_return|annual_return|max_drawdown|sharpe_ratio|volatility|order_count|trade_count
m5,backtest,artifacts/m5/backtest/run_61/backtest_rebalance_log.csv,csv,,,"csv rows: 1; headers: trade_date, source, submitted_count, target_count, allow_next_fallback",1,trade_date|source|submitted_count|target_count|allow_next_fallback,
m5,backtest,artifacts/m5/backtest/run_61/backtest_trade_log.csv,csv,,,"csv rows: 90; headers: trade_date, instrument_id, status, is_buy, created_size, executed_size, executed_price, executed_value",90,trade_date|instrument_id|status|is_buy|created_size|executed_size|executed_price|executed_value|executed_commission,
m8,alert,artifacts/m8/alert/m8_alert_report_p1_2026-04-23.json,json,2026-04-23,,"json keys: module, query, portfolio_id, profile_code, checked_at, highest_level, alert_counts, alerts, source_status, kpi, overall_status",,,module|query|portfolio_id|profile_code|checked_at|highest_level|alert_counts|alerts|source_status|kpi|overall_status
m8,alert,artifacts/m8/alert/m8_alert_report_p1_2026-04-23.md,md,2026-04-23,,# M8.10 Alert Report | - portfolio_id: `1` | - profile_code: `None` | - checked_at: `2026-04-23T15:46:10.252990`,,,
m8,alert,artifacts/m8/alert/m8_alert_report_p1_2026-04-23_alerts.csv,csv,2026-04-23,,"csv rows: 3; headers: level, alert_code, title, message, source, payload",3,level|alert_code|title|message|source|payload,
m8,api,artifacts/m8/api/m8_api_endpoints.md,md,,,# M8 API Endpoints | Generated from FastAPI OpenAPI schema. | ## Endpoints | - `GET   ` `/api/v1/m8/daily-ops/check` - Daily Ops Check,,,
m8,api,artifacts/m8/api/m8_openapi.json,json,,,"json keys: openapi, info, paths, components",,,openapi|info|paths|components
m8,audit,artifacts/m8/audit/m8_audit_snapshot_p1_2026-04-23.json,json,2026-04-23,,"json keys: module, query, portfolio_id, profile_code, exported_at, latest_runs, ops_kpi, alert_check, run_status_counts, run_type_counts, error_logs_preview",,,module|query|portfolio_id|profile_code|exported_at|latest_runs|ops_kpi|alert_check|run_status_counts|run_type_counts|error_logs_preview
m8,audit,artifacts/m8/audit/m8_audit_snapshot_p1_2026-04-23.md,md,2026-04-23,,# M8.10 Audit Snapshot | - portfolio_id: `1` | - profile_code: `None` | - exported_at: `2026-04-23T15:46:12.313334`,,,
m8,audit,artifacts/m8/audit/m8_audit_snapshot_p1_2026-04-23_error_logs.csv,csv,2026-04-23,,"csv rows: 36; headers: id, run_uid, run_type, run_name, status, trigger_type, parent_run_id, requested_at",36,id|run_uid|run_type|run_name|status|trigger_type|parent_run_id|requested_at|started_at|ended_at|created_at|updated_at|error_message|log_level,
m8,audit,artifacts/m8/audit/m8_audit_snapshot_p1_2026-04-23_run_status.csv,csv,2026-04-23,,"csv rows: 3; headers: status, cnt",3,status|cnt,
m8,audit,artifacts/m8/audit/m8_audit_snapshot_p1_2026-04-23_run_type_status.csv,csv,2026-04-23,,"csv rows: 19; headers: run_type, status, cnt",19,run_type|status|cnt,
m8,daily_ops,artifacts/m8/daily_ops/m8_daily_ops_p1_2026-04-23.json,json,2026-04-23,,"json keys: module, query, portfolio_id, profile_code, latest_runs, paper_chain, risk_decision, target_diff, exported_at",,,module|query|portfolio_id|profile_code|latest_runs|paper_chain|risk_decision|target_diff|exported_at
m8,daily_ops,artifacts/m8/daily_ops/m8_daily_ops_p1_2026-04-23.md,md,2026-04-23,,# M8.2 Daily Ops Report | - portfolio_id: `1` | - profile_code: `None` | - snapshot_date: `2026-04-23`,,,
m8,env,artifacts/m8/env/m8_env_startup_report_p1_2026-04-23.json,json,2026-04-23,,"json keys: module, query, portfolio_id, profile_code, exported_at, env_check, startup_check",,,module|query|portfolio_id|profile_code|exported_at|env_check|startup_check
m8,env,artifacts/m8/env/m8_env_startup_report_p1_2026-04-23.md,md,2026-04-23,,# M8.11 Environment / Startup Report | - portfolio_id: `1` | - profile_code: `None` | - exported_at: `2026-04-23T15:46:14.791325`,,,
m8,env,artifacts/m8/env/m8_env_startup_report_p1_2026-04-23_artifacts.csv,csv,2026-04-23,,"csv rows: 13; headers: artifact, path, exists, status, message",13,artifact|path|exists|status|message,
m8,env,artifacts/m8/env/m8_env_startup_report_p1_2026-04-23_dependencies.csv,csv,2026-04-23,,"csv rows: 6; headers: module, purpose, status, message",6,module|purpose|status|message,
m8,env,artifacts/m8/env/m8_env_startup_report_p1_2026-04-23_env_vars.csv,csv,2026-04-23,,"csv rows: 5; headers: name, required, purpose, present, alias_used, masked_value, status, message",5,name|required|purpose|present|alias_used|masked_value|status|message,
m8,env,artifacts/m8/env/m8_env_startup_report_p1_2026-04-23_paths.csv,csv,2026-04-23,,"csv rows: 6; headers: name, path, required, exists, writable, status, message",6,name|path|required|exists|writable|status|message,
m8,human_review,artifacts/m8/human_review/m8_daily_ops_p1_2026-04-23.json,json,2026-04-23,,"json keys: module, query, portfolio_id, profile_code, latest_runs, paper_chain, risk_decision, target_diff, exported_at",,,module|query|portfolio_id|profile_code|latest_runs|paper_chain|risk_decision|target_diff|exported_at
m8,human_review,artifacts/m8/human_review/m8_daily_ops_p1_2026-04-23.md,md,2026-04-23,,# M8.2 Daily Ops Report | - portfolio_id: `1` | - profile_code: `None` | - snapshot_date: `2026-04-23`,,,
m8,human_review,artifacts/m8/human_review/m8_human_review_pack_p1_2026-04-23.json,json,2026-04-23,,"json keys: module, query, portfolio_id, profile_code, exported_at, ops_kpi, latest_runs, daily_ops, scheduler_health, hygiene, paper_chain, risk_decision",,,module|query|portfolio_id|profile_code|exported_at|ops_kpi|latest_runs|daily_ops|scheduler_health|hygiene|paper_chain|risk_decision
m8,human_review,artifacts/m8/human_review/m8_human_review_pack_p1_2026-04-23.md,md,2026-04-23,,# M8.6 Human Review Pack | - portfolio_id: `1` | - profile_code: `None` | - snapshot_date: `2026-04-23`,,,
m8,human_review,artifacts/m8/human_review/m8_human_review_pack_p1_2026-04-23_kpi.csv,csv,2026-04-23,,"csv rows: 1; headers: portfolio_id, profile_code, snapshot_date, total_equity, holding_count, order_count, fill_count, position_count",1,portfolio_id|profile_code|snapshot_date|total_equity|holding_count|order_count|fill_count|position_count|snapshot_count|risk_decision_count|risk_pass_count|risk_warn_count|risk_reject_count|risk_adjust_count|target_quantity_delta|target_amount_delta|scheduler_exit_code|scheduler_status|hygiene_status|running_count|stale_count|failed_count|success_count,
m8,human_review,artifacts/m8/human_review/m8_human_review_pack_p1_2026-04-23_risk_reasons.csv,csv,2026-04-23,,"csv rows: 6; headers: decision_type, reason_code, cnt",6,decision_type|reason_code|cnt,
m8,human_review,artifacts/m8/human_review/m8_human_review_pack_p1_2026-04-23_run_status.csv,csv,2026-04-23,,"csv rows: 3; headers: status, cnt",3,status|cnt,
m8,human_review,artifacts/m8/human_review/m8_ops_summary_pack_p1_2026-04-23.json,json,2026-04-23,,"json keys: module, query, portfolio_id, profile_code, exported_at, ops_kpi, recent_runs",,,module|query|portfolio_id|profile_code|exported_at|ops_kpi|recent_runs
m8,human_review,artifacts/m8/human_review/m8_ops_summary_pack_p1_2026-04-23.md,md,2026-04-23,,# M8.6 Ops Summary Pack | - portfolio_id: `1` | - profile_code: `None` | - snapshot_date: `2026-04-23`,,,
m8,human_review,artifacts/m8/human_review/m8_ops_summary_pack_p1_2026-04-23_recent_runs.csv,csv,2026-04-23,,"csv rows: 50; headers: id, run_type, run_name, status, trigger_type, requested_at, started_at, ended_at",50,id|run_type|run_name|status|trigger_type|requested_at|started_at|ended_at|created_at|updated_at|error_message,
